Frag_number,Genotype,Recovery_tank,Recovery_notes,Heat_stress_tank,ERL_tank_number,Tank_treatment,Disease_treatment?,D_touch_tank,Jar_allocation,D_treatment,Date,Time_after_disease_exposure,HEALTH
135,HS1,3,ok,5,9,heat,disease,3,18,disease_slurry,07_aug_2019,pre_exposure,dead
137,HS1,4,ok,4,8,ambient,disease,1,19,disease_slurry,07_aug_2019,pre_exposure,diseased
144,HS1,1,ok,8,12,heat,disease,1,31,s_m_placebo,07_aug_2019,pre_exposure,diseased
185,HS1,1,ok,6,10,heat,disease,2,32,placebo_slurry,07_aug_2019,pre_exposure,diseased
160,HS1,2,ok,5,9,heat,disease,3,14,s_marcscens,07_aug_2019,pre_exposure,diseased
58,CN4,2,ok,9,13,ambient,disease,1,1,placebo_slurry,07_aug_2019,pre_exposure,healthy
86,CN2,1,ok,10,15,heat,disease,1,2,s_m_placebo,07_aug_2019,pre_exposure,healthy
96,CN2,1,ok,3,4,ambient,disease,1,3,s_m_placebo,07_aug_2019,pre_exposure,healthy
143,HS1,4,ok,4,8,ambient,disease,1,4,disease_slurry,07_aug_2019,pre_exposure,healthy
34,ML2,1,ok,4,8,ambient,disease,1,5,placebo_slurry,07_aug_2019,pre_exposure,healthy
61,CN4,1,ok,9,13,ambient,disease,1,6,s_marcscens,07_aug_2019,pre_exposure,healthy
127,HS1,3,ok,6,10,heat,disease,1,7,placebo_slurry,07_aug_2019,pre_exposure,healthy
173,ML2,4,ok,6,10,heat,disease,1,8,placebo_slurry,07_aug_2019,pre_exposure,healthy
98,CN2,1,ok,8,12,heat,disease,1,9,s_marcscens,07_aug_2019,pre_exposure,healthy
19,ML2,1,ok,7,11,ambient,disease,1,10,s_marcscens,07_aug_2019,pre_exposure,healthy
188,HS1,4,ok,5,9,heat,disease,1,11,s_m_placebo,07_aug_2019,pre_exposure,healthy
139,HS1,3,ok,9,13,ambient,disease,1,12,s_marcscens,07_aug_2019,pre_exposure,healthy
85,CN2,1,ok,10,15,heat,disease,1,13,placebo_slurry,07_aug_2019,pre_exposure,healthy
140,HS1,2,ok,8,12,heat,disease,1,14,disease_slurry,07_aug_2019,pre_exposure,healthy
64,CN4,3,ok,6,10,heat,disease,1,15,placebo_slurry,07_aug_2019,pre_exposure,healthy
167,CN2,1,ok,4,8,ambient,disease,1,16,disease_slurry,07_aug_2019,pre_exposure,healthy
9,ML2,4,ok,1,1,heat,disease,1,17,s_m_placebo,07_aug_2019,pre_exposure,healthy
131,HS1,3,ok,8,12,heat,disease,1,18,disease_slurry,07_aug_2019,pre_exposure,healthy
75,CN4,2,ok,10,15,heat,disease,1,20,s_marcscens,07_aug_2019,pre_exposure,healthy
113,CN2,2,ok,3,4,ambient,disease,1,21,disease_slurry,07_aug_2019,pre_exposure,healthy
87,CN2,1,ok,8,12,heat,disease,1,22,placebo_slurry,07_aug_2019,pre_exposure,healthy
105,CN2,4,ok,4,8,ambient,disease,1,23,placebo_slurry,07_aug_2019,pre_exposure,healthy
17,ML2,2,ok,8,12,heat,disease,1,24,s_marcscens,07_aug_2019,pre_exposure,healthy
26,ML2,1,ok,3,4,ambient,disease,1,25,s_m_placebo,07_aug_2019,pre_exposure,healthy
178,CN4,4,ok,7,11,ambient,disease,1,26,disease_slurry,07_aug_2019,pre_exposure,healthy
161,HS1,1,ok,9,13,ambient,disease,1,27,s_m_placebo,07_aug_2019,pre_exposure,healthy
49,CN4,1,ok,3,4,ambient,disease,1,28,s_m_placebo,07_aug_2019,pre_exposure,healthy
159,HS1,4,ok,3,4,ambient,disease,1,29,disease_slurry,07_aug_2019,pre_exposure,healthy
4,ML2,1,ok,2,3,ambient,disease,1,30,disease_slurry,07_aug_2019,pre_exposure,healthy
51,CN4,2,ok,5,9,heat,disease,1,32,s_marcscens,07_aug_2019,pre_exposure,healthy
170,ML2,3,ok,10,15,heat,disease,1,33,disease_slurry,07_aug_2019,pre_exposure,healthy
163,CN2,3,ok,6,10,heat,disease,1,34,disease_slurry,07_aug_2019,pre_exposure,healthy
109,CN2,4,ok,9,13,ambient,disease,1,35,s_marcscens,07_aug_2019,pre_exposure,healthy
43,CN4,1,ok,6,10,heat,disease,1,36,s_marcscens,07_aug_2019,pre_exposure,healthy
50,CN4,2,ok,4,8,ambient,disease,1,37,placebo_slurry,07_aug_2019,pre_exposure,healthy
15,ML2,1,ok,9,13,ambient,disease,1,38,disease_slurry,07_aug_2019,pre_exposure,healthy
45,CN4,3,ok,10,15,heat,disease,1,39,disease_slurry,07_aug_2019,pre_exposure,healthy
35,ML2,2,ok,10,15,heat,disease,1,40,placebo_slurry,07_aug_2019,pre_exposure,healthy
80,CN4,1,ok,4,8,ambient,disease,2,1,disease_slurry,07_aug_2019,pre_exposure,healthy
52,CN4,2,ok,1,1,heat,disease,2,2,s_m_placebo,07_aug_2019,pre_exposure,healthy
91,CN2,1,ok,5,9,heat,disease,2,3,disease_slurry,07_aug_2019,pre_exposure,healthy
81,CN4,3,ok,8,12,heat,disease,2,4,s_marcscens,07_aug_2019,pre_exposure,healthy
20,ML2,4,ok,5,9,heat,disease,2,5,s_m_placebo,07_aug_2019,pre_exposure,healthy
92,CN2,4,ok,2,3,ambient,disease,2,6,placebo_slurry,07_aug_2019,pre_exposure,healthy
70,CN4,3,ok,6,10,heat,disease,2,7,placebo_slurry,07_aug_2019,pre_exposure,healthy
39,ML2,1,ok,3,4,ambient,disease,2,8,s_m_placebo,07_aug_2019,pre_exposure,healthy
14,ML2,2,ok,7,11,ambient,disease,2,9,disease_slurry,07_aug_2019,pre_exposure,healthy
138,HS1,3,ok,6,10,heat,disease,2,10,s_m_placebo,07_aug_2019,pre_exposure,healthy
130,HS1,2,ok,7,11,ambient,disease,2,11,s_m_placebo,07_aug_2019,pre_exposure,healthy
67,CN4,4,ok,7,11,ambient,disease,2,12,placebo_slurry,07_aug_2019,pre_exposure,healthy
114,CN2,3,ok,5,9,heat,disease,2,13,s_m_placebo,07_aug_2019,pre_exposure,healthy
88,CN2,2,ok,5,9,heat,disease,2,14,placebo_slurry,07_aug_2019,pre_exposure,healthy
165,CN2,3,ok,7,11,ambient,disease,2,15,s_marcscens,07_aug_2019,pre_exposure,healthy
108,CN2,2,ok,2,3,ambient,disease,2,16,s_marcscens,07_aug_2019,pre_exposure,healthy
120,CN2,4,ok,5,9,heat,disease,2,17,disease_slurry,07_aug_2019,pre_exposure,healthy
30,ML2,2,ok,9,13,ambient,disease,2,18,s_m_placebo,07_aug_2019,pre_exposure,healthy
186,HS1,1,ok,7,11,ambient,disease,2,19,s_m_placebo,07_aug_2019,pre_exposure,healthy
125,HS1,3,ok,1,1,heat,disease,2,20,placebo_slurry,07_aug_2019,pre_exposure,healthy
89,CN2,4,ok,4,8,ambient,disease,2,21,placebo_slurry,07_aug_2019,pre_exposure,healthy
157,HS1,4,ok,3,4,ambient,disease,2,22,placebo_slurry,07_aug_2019,pre_exposure,healthy
56,CN4,3,ok,5,9,heat,disease,2,23,s_marcscens,07_aug_2019,pre_exposure,healthy
182,CN4,4,ok,7,11,ambient,disease,2,24,s_m_placebo,07_aug_2019,pre_exposure,healthy
103,CN2,2,ok,7,11,ambient,disease,2,25,disease_slurry,07_aug_2019,pre_exposure,healthy
13,ML2,2,ok,2,3,ambient,disease,2,26,s_marcscens,07_aug_2019,pre_exposure,healthy
55,CN4,3,ok,4,8,ambient,disease,2,27,s_marcscens,07_aug_2019,pre_exposure,healthy
147,HS1,2,ok,1,1,heat,disease,2,28,disease_slurry,07_aug_2019,pre_exposure,healthy
164,CN2,2,ok,6,10,heat,disease,2,29,placebo_slurry,07_aug_2019,pre_exposure,healthy
134,HS1,2,ok,7,11,ambient,disease,2,30,placebo_slurry,07_aug_2019,pre_exposure,healthy
5,ML2,1,ok,8,12,heat,disease,2,31,disease_slurry,07_aug_2019,pre_exposure,healthy
11,ML2,1,ok,4,8,ambient,disease,2,33,disease_slurry,07_aug_2019,pre_exposure,healthy
29,ML2,2,ok,10,15,heat,disease,2,34,s_marcscens,07_aug_2019,pre_exposure,healthy
47,CN4,2,ok,6,10,heat,disease,2,35,placebo_slurry,07_aug_2019,pre_exposure,healthy
174,ML2,3,ok,6,10,heat,disease,2,36,s_m_placebo,07_aug_2019,pre_exposure,healthy
66,CN4,4,ok,9,13,ambient,disease,2,37,s_m_placebo,07_aug_2019,pre_exposure,healthy
