date,IPAM_round,picture,Frag_number,IPAM_file,AOI,tank,PAR,F_value,Fm_value,YII_value
08-Jul-19,round_1,1,1,r1_1_ben.csv,1,T1,0,0.1603,0.399,0.598
08-Jul-19,round_1,1,1,r1_1_ben.csv,2,T1,0,0.1608,0.398,0.596
08-Jul-19,round_1,1,1,r1_1_ben.csv,3,T1,0,0.1382,0.3466,0.601
08-Jul-19,round_1,1,166,r1_1_ben.csv,4,T1,0,0.1926,0.4784,0.597
08-Jul-19,round_1,1,166,r1_1_ben.csv,5,T1,0,0.1451,0.3529,0.589
08-Jul-19,round_1,1,166,r1_1_ben.csv,6,T1,0,0.1289,0.3211,0.598
08-Jul-19,round_1,1,26,r1_1_ben.csv,7,T1,0,0.1745,0.4485,0.611
08-Jul-19,round_1,1,26,r1_1_ben.csv,8,T1,0,0.1926,0.499,0.614
08-Jul-19,round_1,1,26,r1_1_ben.csv,9,T1,0,0.2279,0.6,0.62
08-Jul-19,round_1,2,19,r1_2_ben.csv,1,T1,0,0.1549,0.3814,0.594
08-Jul-19,round_1,2,19,r1_2_ben.csv,2,T1,0,0.1706,0.4186,0.593
08-Jul-19,round_1,2,19,r1_2_ben.csv,3,T1,0,0.1574,0.3843,0.591
08-Jul-19,round_1,2,37,r1_2_ben.csv,4,T1,0,0.1745,0.4328,0.597
08-Jul-19,round_1,2,37,r1_2_ben.csv,5,T1,0,0.1554,0.3863,0.598
08-Jul-19,round_1,2,37,r1_2_ben.csv,6,T1,0,0.15,0.3789,0.604
08-Jul-19,round_1,2,190,r1_2_ben.csv,7,T1,0,0.1941,0.4765,0.593
08-Jul-19,round_1,2,190,r1_2_ben.csv,8,T1,0,0.1995,0.4985,0.6
08-Jul-19,round_1,2,190,r1_2_ben.csv,9,T1,0,0.1721,0.4265,0.597
08-Jul-19,round_1,3,11,r1_3_ben.csv,1,T1,0,0.1804,0.4426,0.592
08-Jul-19,round_1,3,11,r1_3_ben.csv,2,T1,0,0.1623,0.4069,0.601
08-Jul-19,round_1,3,11,r1_3_ben.csv,3,T1,0,0.151,0.3956,0.618
08-Jul-19,round_1,3,98,r1_3_ben.csv,4,T1,0,0.1701,0.4407,0.614
08-Jul-19,round_1,3,98,r1_3_ben.csv,5,T1,0,0.1402,0.3701,0.621
08-Jul-19,round_1,3,98,r1_3_ben.csv,6,T1,0,0.151,0.3961,0.619
08-Jul-19,round_1,3,87,r1_3_ben.csv,7,T1,0,0.2123,0.5441,0.61
08-Jul-19,round_1,3,87,r1_3_ben.csv,8,T1,0,0.1887,0.5,0.623
08-Jul-19,round_1,3,87,r1_3_ben.csv,9,T1,0,0.1515,0.3907,0.612
08-Jul-19,round_1,4,149,r1_4_ben.csv,1,T1,0,0.2025,0.5069,0.601
08-Jul-19,round_1,4,149,r1_4_ben.csv,2,T1,0,0.1848,0.4696,0.606
08-Jul-19,round_1,4,149,r1_4_ben.csv,3,T1,0,0.1706,0.4196,0.593
