,Frag_number,Genotype,Recovery_tank,Recovery_notes,Heat_stress_tank,ERL_tank_number,Tank_treatment,Disease_treatment?,D_touch_tank,D_treatment,Jar_allocation,sample_tubes,photos_initial,photo_number,photo_bw_hole,Initial_health,initial_notes,D_touch_tank,Jar_allocation,8aug_health,sampled,tube_number_if_sampled,photo(number),photo(bw_hole),notes,9aug_health,sampled,tube_number_if_sampled,photo(number),photo(bw_hole),notes,Jar_allocation,10aug_health,sampled,tube_number_if_sampled,photo(number),photo(bw_hole),notes,Jar_allocation,11aug_health,sampled,tube_number_if_sampled,photo(number),photo(bw_hole),notes,Jar_allocation,12aug_health,sampled,tube_number_if_sampled,photo(number),photo(bw_hole),notes,Jar_allocation,13aug_health,sampled,tube_number_if_sampled,photo(number),photo(bw_hole),notes,Jar_allocation,14aug_health,sampled,tube_number_if_sampled,photo(number),photo(bw_hole),notes,Jar_allocation,15aug_health,sampled,tube_number_if_sampled,photo(number),photo(bw_hole),notes,Jar_allocation,16aug_health,sampled,tube_number_if_sampled,photo(number),photo(bw_hole),notes,Jar_allocation,17aug_health,sampled,tube_number_if_sampled,photo(number),photo(bw_hole),notes,Frag_number
54,58,CN4,2,ok,9,13,ambient,disease,1,placebo_slurry,1,1,yes,1,2,healthy,,1,1,healthy,no,,,,,healthy ,,,,,,1,healthy ,,,,,,1,healthy ,,,,,,1,healthy ,,,,,,1,healthy ,,,,,,1,healthy ,,,,,,1,healthy ,,,,,,1,healthy ,,,,,,1,healthy ,,220,1,2,,58
19,86,CN2,1,ok,10,15,heat,disease,1,s_m_placebo,2,2,yes,3,4,healthy,,1,2,healthy,no,,,,,healthy ,,,,,,2,healthy ,,,,,,2,healthy ,,,,,,2,healthy ,,,,,,2,healthy ,,,,,,2,healthy ,,,,,,2,healthy ,,,,,,2,healthy ,,,,,,2,healthy ,,221,3,4,,86
14,96,CN2,1,ok,3,4,ambient,disease,1,s_m_placebo,3,3,yes,5,6,healthy,,1,3,healthy,no,,,,,healthy ,,,,,,3,healthy ,,,,,,3,healthy ,,,,,,3,healthy ,,,,,,3,healthy ,,,,,,3,healthy ,,,,,,3,healthy ,,,,,,3,healthy ,,,,,,3,healthy ,,222,5,6,,96
133,143,HS1,4,ok,4,8,ambient,disease,1,disease_slurry,4,4,yes,7,8,healthy,,1,4,healthy,no,,,,,healthy ,,,,,,4,healthy ,,,,,,4,healthy ,,,,,,4,healthy ,,,,,,4,diseased,,,1,2,,4,diseased,,,1,2,,4,diseased,,,1,2,,4,diseased,yes,214,1,2,removed,4,dead,na,na,na,na,na,143
38,34,ML2,1,ok,4,8,ambient,disease,1,placebo_slurry,5,5,yes,9,10,healthy,,1,5,healthy ,no,,,,,healthy ,,,,,,5,healthy ,,,,,,5,healthy ,,,,,,5,healthy ,,,,,,5,healthy ,,,,,,5,healthy ,,,,,,5,healthy ,,,,,,5,healthy ,,,,,,5,healthy ,,223,7,8,,34
23,61,CN4,1,ok,9,13,ambient,disease,1,s_marcscens,6,"6,7",yes,11,12,healthy,,1,6,healthy ,no,,,,,healthy ,,,,,,6,healthy ,,,,,,6,healthy ,,,,,,6,healthy ,,,,,,6,healthy ,,,,,,6,healthy ,,,,,,6,healthy ,,,,,,6,healthy ,,,,,,6,healthy ,,"225,226",9,10,,61
108,127,HS1,3,ok,6,10,heat,disease,1,placebo_slurry,7,8,yes,13,14,healthy,,1,7,diseased,no-check_tomorrow,,1,2,,diseased,yes,191,1,2,,7,dead,,,93,94,removed,7,dead,na,na,na,na,na,7,dead,na,na,na,na,na,7,dead,na,na,na,na,na,7,dead,na,na,na,na,na,7,dead,na,na,na,na,na,7,dead,na,na,na,na,na,7,dead,na,na,na,na,na,127
153,173,ML2,4,ok,6,10,heat,disease,1,placebo_slurry,8,"9,10",yes,15,16,healthy,loose on plug,1,8,healthy,no,,,,,healthy ,,,,,,8,healthy ,,,,,,8,healthy ,,,,,,8,healthy ,,,,,,8,healthy ,,,,,,8,healthy ,,,,,,8,healthy ,,,,,,8,healthy ,,,,,,8,healthy ,,227,11,12,,173
1,98,CN2,1,ok,8,12,heat,disease,1,s_marcscens,9,11,yes,17,18,healthy,,1,9,healthy,no,,,,,healthy ,,,,,,9,healthy ,,,,,,9,healthy ,,,,,,9,healthy ,,,,,,9,healthy ,,,,,,9,healthy ,,,,,,9,healthy ,,,,,,9,healthy ,,,,,,9,healthy ,,228,13,14,,98
12,19,ML2,1,ok,7,11,ambient,disease,1,s_marcscens,10,12,yes,19,20,healthy,,1,10,healthy,no,,,,,healthy ,,,,,,10,healthy ,,,,,,10,healthy ,,,,,,10,healthy ,,,,,,10,healthy ,,,,,,10,healthy ,,,,,,10,healthy ,,,,,,10,healthy ,,,,,,10,healthy ,,229,15,16,,19
